Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Cade McNown*\cade-mcnown-1,UCLA,Pac-10,12,189,312,60.6,3116,10,10.7,24,6,166
2,Ryan Leaf*\ryan-leaf-1,Washington State,Pac-10,12,227,410,55.4,3968,9.7,10.1,34,11,158.7
3,John Dutton\john-dutton-2,Nevada,Big West,11,225,367,61.3,3526,9.6,10,20,6,156.7
4,Donovan McNabb\donovan-mcnabb-1,Syracuse,Big East,12,145,265,54.7,2488,9.4,9.9,20,6,154
5,Mike Bobo\mike-bobo-2,Georgia,SEC,12,199,306,65,2751,9,9.1,19,8,155.8
6,Moses Moreno\moses-moreno-1,Colorado State,WAC,12,157,257,61.1,2257,8.8,8.8,20,9,153.5
7,Brock Huard\brock-huard-1,Washington,Pac-10,10,146,244,59.8,2140,8.8,8.8,23,10,156.4
8,Joe Germaine*\joe-germaine-1,Ohio State,Big Ten,13,129,210,61.4,1847,8.8,8.4,16,9,151.9
9,Mike McQueary\mike-mcqueary-1,Penn State,Big Ten,12,146,255,57.3,2211,8.7,8.4,17,9,145
10,Corby Jones\corby-jones-1,Missouri,Big 12,11,102,191,53.4,1658,8.7,8.5,12,6,140.8
11,Jason Maas*\jason-maas-1,Oregon,Pac-10,10,104,187,55.6,1631,8.7,8.7,18,8,152.1
12,Joe Hamilton\joe-hamilton-1,Georgia Tech,ACC,11,173,268,64.6,2314,8.6,8.4,12,7,146.6
13,Thad Busby\thad-busby-1,Florida State,ACC,11,235,390,60.3,3317,8.5,8.6,25,10,147.7
14,Aaron Brooks\aaron-brooks-1,Virginia,ACC,11,164,270,60.7,2282,8.5,8.8,20,7,151
15,Graham Leigh\graham-leigh-2,New Mexico,WAC,12,166,276,60.1,2318,8.4,8.8,24,8,153.6
16,Michael Bishop\michael-bishop-1,Kansas State,Big 12,11,80,185,43.2,1557,8.4,7.9,13,8,128.5
17,Tim Rattay\tim-rattay-1,Louisiana Tech,Ind,11,293,477,61.4,3881,8.1,8.6,34,10,149.1
18,Chad Pennington*\chad-pennington-1,Marshall,MAC,13,276,473,58.4,3817,8.1,8.7,42,12,150.4
19,Dameyune Craig\dameyune-craig-1,Auburn,SEC,12,216,403,53.6,3277,8.1,7.6,18,13,130.2
20,Daunte Culpepper\daunte-culpepper-1,UCF,Ind,11,238,381,62.5,3086,8.1,8.2,25,10,146.9
21,Tim Lester\tim-lester-1,Western Michigan,MAC,10,154,268,57.5,2160,8.1,7.5,17,11,137.9
22,Peyton Manning\peyton-manning-1,Tennessee,SEC,12,287,477,60.2,3819,8,8.5,36,11,147.7
23,Chris Keldorf\chris-keldorf-1,North Carolina,ACC,11,104,181,57.5,1448,8,7.1,12,9,136.6
24,Jamie Barnette\jamie-barnette-1,North Carolina State,ACC,11,171,302,56.6,2378,7.9,7,19,14,134.3
25,Ryan Clement\ryan-clement-1,Miami (FL),Big East,11,157,267,58.8,2089,7.8,6.7,10,11,128.6
26,John Fitzgerald\john-fitzgerald-1,Tulsa,WAC,11,139,256,54.3,2003,7.8,6.2,9,13,121.5
27,Billy Dicken*\billy-dicken-1,Purdue,Big Ten,12,224,407,55,3136,7.7,7,21,16,128.9
28,Matt Sauk\matt-sauk-1,Utah State,Big West,11,190,378,50.3,2896,7.7,7.3,16,10,123.3
29,Pete Gonzalez\pete-gonzalez-1,Pitt,Big East,11,198,345,57.4,2657,7.7,8.5,30,7,146.7
30,Pat Bonner\pat-bonner-1,Temple,Big East,10,107,202,53,1561,7.7,5.7,7,12,117.4
31,Al Clark\al-clark-2,Virginia Tech,Big East,10,110,192,57.3,1477,7.7,8,10,3,136
32,Charlie Batch\charlie-batch-1,Eastern Michigan,MAC,11,247,434,56.9,3280,7.6,7.5,23,11,132.8
33,Stewart Patridge\stewart-patridge-1,Ole Miss,SEC,11,228,352,64.8,2667,7.6,7.4,12,7,135.7
34,Sam Ricketts\sam-ricketts-1,Miami (OH),MAC,11,188,324,58,2466,7.6,7.2,16,10,132.1
35,Marc Bulger*\marc-bulger-1,West Virginia,Big East,12,192,323,59.4,2465,7.6,7.1,14,10,131.7
36,Nealon Greene*\nealon-greene-1,Clemson,ACC,12,180,290,62.1,2212,7.6,7.3,16,9,138.1
37,Herb Tyler\herb-tyler-1,LSU,SEC,11,127,209,60.8,1581,7.6,7,10,7,133.4
38,Doug Johnson\doug-johnson-3,Florida,SEC,9,148,269,55,2023,7.5,7.1,21,12,135
39,Mike Samuel*\mike-samuel-1,Wisconsin,Big Ten,13,141,254,55.5,1896,7.5,5.8,8,13,118.4
40,Oscar Davenport\oscar-davenport-1,North Carolina,ACC,11,115,183,62.8,1380,7.5,7.6,7,3,135.5
41,Jose Davis\jose-davis-1,Kent State,MAC,10,194,365,53.2,2707,7.4,7.4,32,14,136.7
42,Brian Griese\brian-griese-1,Michigan,Big Ten,11,175,277,63.2,2042,7.4,7.6,14,5,138.2
43,John Hessler\john-hessler-1,Colorado,Big 12,11,181,338,53.6,2478,7.3,6,14,16,119.3
44,Matt Hasselbeck\matt-hasselbeck-1,Boston College,Big East,10,188,305,61.6,2239,7.3,6.6,11,10,128.6
45,Lee Jolly\lee-jolly-1,UAB,Ind,10,108,209,51.7,1530,7.3,6.9,11,7,123.8
46,Branndon Stewart\branndon-stewart-1,Texas A&M,Big 12,12,111,196,56.6,1429,7.3,7.4,10,4,130.6
47,Josh Skinner\josh-skinner-2,Hawaii,WAC,10,109,195,55.9,1416,7.3,4.6,3,13,108.6
48,Ryan Kealy\ryan-kealy-1,Arizona State,Pac-10,11,162,297,54.5,2137,7.2,7.1,15,7,126.9
49,Jonathan Crosswhite\jonathan-crosswhite-1,Utah,WAC,9,130,222,58.6,1588,7.2,6.1,9,9,123.9
50,Jake Josetti\jake-josetti-1,Ball State,MAC,11,106,217,48.8,1569,7.2,5.5,13,14,116.4
51,Tim Couch\tim-couch-1,Kentucky,SEC,11,363,547,66.4,3884,7.1,6.9,37,19,141.4
