Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Ryan Dinwiddie*\ryan-dinwiddie-1,Boise State,WAC,14,276,446,61.9,4356,9.8,10.5,31,7,163.7
2,Bradlee Van Pelt*\bradlee-van-pelt-1,Colorado State,MWC,13,180,297,60.6,2845,9.6,8.9,19,13,153.4
3,Asad Abdul-Khaliq*\asad-abdul-khaliq-1,Minnesota,Big Ten,13,158,250,63.2,2401,9.6,10.1,17,5,162.3
4,Philip Rivers*\philip-rivers-1,North Carolina State,ACC,13,348,483,72,4491,9.3,10.1,34,7,170.5
5,Ben Roethlisberger*\ben-roethlisberger-1,Miami (OH),MAC,14,342,495,69.1,4486,9.1,9.6,37,10,165.8
6,Bill Whittemore*\bill-whittemore-1,Kansas,Big 12,10,159,263,60.5,2385,9.1,9.4,18,6,154.7
7,Jim Sorgi*\jim-sorgi-1,Wisconsin,Big Ten,12,140,248,56.5,2251,9.1,8.8,17,9,148.1
8,Rod Rutherford*\rod-rutherford-1,Pitt,Big East,13,247,413,59.8,3679,8.9,9.2,37,14,157.4
9,Matt Leinart*\matt-leinart-1,USC,Pac-10,13,255,402,63.4,3556,8.8,9.7,38,9,164.5
10,Stefan Lefors*\stefan-lefors-1,Louisville,CUSA,13,219,357,61.3,3145,8.8,8.5,17,10,145.5
11,Kevin Kolb*\kevin-kolb-1,Houston,CUSA,13,220,360,61.1,3131,8.7,9.3,25,6,153.8
12,Ell Roberson*\ell-roberson-1,Kansas State,Big 12,13,152,294,51.7,2545,8.7,8.5,24,12,143.2
13,Jason White*\jason-white-1,Oklahoma,Big 12,14,278,451,61.6,3846,8.5,9.3,40,10,158.1
14,Scott McBrien*\scott-mcbrien-1,Maryland,ACC,13,173,314,55.1,2672,8.5,8.9,19,6,142.7
15,Brandon Hassell*\brandon-hassell-1,Texas Christian,CUSA,10,136,240,56.7,2039,8.5,7.8,10,8,135.1
16,Charlie Frye\charlie-frye-1,Akron,MAC,12,273,421,64.8,3549,8.4,8.5,22,9,148.6
17,Alex Smith*\alex-smith-3,Utah,MWC,11,173,266,65,2247,8.4,9.1,15,3,152.3
18,Brian Lindgren\brian-lindgren-1,Idaho,Sun Belt,11,147,246,59.8,2077,8.4,8.2,15,8,144.3
19,Bruce Gradkowski\bruce-gradkowski-1,Toledo,MAC,12,277,389,71.2,3210,8.3,8.9,29,7,161.5
20,Aaron Rodgers*\aaron-rodgers-1,California,Pac-10,13,215,349,61.6,2903,8.3,8.8,19,5,146.6
21,Matt Jones*\matt-jones-1,Arkansas,SEC,13,132,230,57.4,1917,8.3,8.5,18,7,147.1
22,Eli Manning*\eli-manning-1,Ole Miss,SEC,13,275,441,62.4,3600,8.2,8.5,29,10,148.1
23,B.J. Symons*\bj-symons-1,Texas Tech,Big 12,13,470,719,65.4,5833,8.1,8.2,52,22,151.3
24,Chris Rix*\chris-rix-1,Florida State,ACC,13,216,382,56.5,3107,8.1,7.8,23,13,137.9
25,Casey Kelly*\casey-kelly-1,New Mexico,MWC,13,146,274,53.3,2223,8.1,7.7,14,9,131.7
26,Bryan Randall*\bryan-randall-1,Virginia Tech,Big East,13,150,245,61.2,1996,8.1,7.5,15,10,141.7
27,Reggie McNeal\reggie-mcneal-1,Texas A&M,Big 12,12,113,221,51.1,1782,8.1,7.4,8,7,124.5
28,Derek Anderson*\derek-anderson-1,Oregon State,Pac-10,13,261,510,51.2,4058,8,6.8,24,24,124.1
29,Rasheed Marshall*\rasheed-marshall-1,West Virginia,Big East,12,109,215,50.7,1729,8,7.8,15,8,133.8
30,Matt Mauck*\matt-mauck-1,LSU,SEC,14,229,358,64,2825,7.9,7.7,28,14,148.2
31,Kellen Clemens*\kellen-clemens-1,Oregon,Pac-10,13,182,304,59.9,2400,7.9,7.7,18,9,139.8
32,Josh Harris*\josh-harris-2,Bowling Green State,MAC,14,325,494,65.8,3813,7.7,7.7,27,12,143.8
33,Charlie Whitehurst*\charlie-whitehurst-1,Clemson,ACC,13,288,465,61.9,3561,7.7,7.3,21,13,135.6
34,Jason Campbell*\jason-campbell-1,Auburn,SEC,13,181,293,61.8,2267,7.7,7.2,10,8,132.6
35,David Greene*\david-greene-1,Georgia,SEC,14,264,438,60.3,3307,7.6,7,13,11,128.5
36,Josh Haldi\josh-haldi-1,Northern Illinois,MAC,12,199,336,59.2,2544,7.6,7.9,25,9,142
37,Chris Leak*\chris-leak-1,Florida,SEC,13,190,320,59.4,2435,7.6,7.1,16,11,132.9
38,Luke McCown\luke-mccown-1,Louisiana Tech,WAC,12,246,432,56.9,3246,7.5,6.9,19,14,128.1
39,Matt Kegel*\matt-kegel-1,Washington State,Pac-10,13,218,394,55.3,2947,7.5,6.8,21,15,128.1
40,Dustin Almond*\dustin-almond-1,Southern Mississippi,CUSA,13,121,251,48.2,1877,7.5,7.3,13,7,122.5
41,Josh Fields*\josh-fields-1,Oklahoma State,Big 12,13,184,338,54.4,2494,7.4,7,21,12,129.8
42,Dan Orlovsky\dan-orlovsky-1,Connecticut,Ind,12,279,475,58.7,3485,7.3,7.4,33,14,137.4
43,John Navarre*\john-navarre-1,Michigan,Big Ten,13,270,456,59.2,3331,7.3,7.4,24,10,133.6
44,J.P. Losman\jp-losman-1,Tulane,CUSA,12,251,422,59.5,3077,7.3,7.4,33,14,139.9
45,Matt Schaub*\matt-schaub-1,Virginia,ACC,11,281,403,69.7,2952,7.3,7.1,18,10,141
46,Joel Klatt\joel-klatt-1,Colorado,Big 12,11,233,358,65.1,2614,7.3,7.2,21,10,140.2
47,Craig Krenzel*\craig-krenzel-1,Ohio State,Big Ten,11,153,278,55,2040,7.3,6.8,15,10,127.3
48,Danny Wimprine*\danny-wimprine-1,Memphis,CUSA,13,246,440,55.9,3174,7.2,6.9,22,13,127.1
49,Andrew Walter\andrew-walter-1,Arizona State,Pac-10,12,221,421,52.5,3044,7.2,7.3,24,10,127.3
50,Casey Clausen*\casey-clausen-1,Tennessee,SEC,13,233,412,56.6,2968,7.2,7.5,27,9,134.3
51,Jay Cutler\jay-cutler-1,Vanderbilt,SEC,12,187,327,57.2,2347,7.2,6.5,18,13,127.7
52,Cory Randolph\cory-randolph-1,Wake Forest,ACC,12,144,246,58.5,1773,7.2,6,8,10,121.7
53,Casey Bramlet\casey-bramlet-1,Wyoming,MWC,12,241,425,56.7,3037,7.1,7.2,22,9,129.6
54,Quinton Porter*\quinton-porter-1,Boston College,Big East,10,140,250,56,1764,7.1,7.1,14,6,129
55,Timmy Chang*\timmy-chang-1,Hawaii,WAC,13,353,601,58.7,4199,7,6.5,29,20,126.7
56,Jeff Smoker*\jeff-smoker-1,Michigan State,Big Ten,13,302,488,61.9,3395,7,6.5,21,14,128.8
57,Kyle Orton*\kyle-orton-1,Purdue,Big Ten,13,251,414,60.6,2885,7,6.9,15,7,127.7
58,Andy Heiser\andy-heiser-1,Nevada,WAC,12,164,326,50.3,2294,7,6.2,13,12,115.2
59,R.J. Anderson\rj-anderson-1,Syracuse,Big East,12,186,310,60,2164,7,6.5,10,8,124.1
60,Scott Rislov\scott-rislov-1,San Jose State,WAC,11,261,437,59.7,3016,6.9,7.2,18,5,129
61,Brock Berlin*\brock-berlin-1,Miami (FL),Big East,13,211,352,59.9,2419,6.9,5.4,12,17,119.3
62,Andrico Hines\andrico-hines-1,Middle Tennessee State,Sun Belt,11,153,253,60.5,1742,6.9,6.9,7,3,125.1
63,Ryan Hart\ryan-hart-1,Rutgers,Big East,12,234,398,58.8,2714,6.8,5.4,15,19,119
64,Brodie Croyle\brodie-croyle-1,Alabama,SEC,12,182,341,53.4,2303,6.8,6,16,13,118
65,Cody Pickett\cody-pickett-1,Washington,Pac-10,12,257,454,56.6,3043,6.7,6.1,15,13,118.1
66,Travis Cox\travis-cox-1,Utah State,Sun Belt,12,235,415,56.6,2791,6.7,6.8,18,7,124.1
67,Joshua Cribbs\joshua-cribbs-1,Kent State,MAC,12,178,364,48.9,2424,6.7,6.3,14,9,112.6
68,James Kilian*\james-kilian-1,Tulsa,WAC,13,188,331,56.8,2217,6.7,6.5,22,11,128.3
69,Talmadge Hill\talmadge-hill-1,Ball State,MAC,12,154,253,60.9,1691,6.7,6.6,13,6,129.2
70,Orlando Cruz\orlando-cruz-1,UTEP,WAC,11,103,203,50.7,1360,6.7,4.9,6,11,105.9
71,Darian Durant\darian-durant-1,North Carolina,ACC,12,234,389,60.2,2551,6.6,6.3,18,10,125.4
72,Jared Lorenzen\jared-lorenzen-1,Kentucky,SEC,12,191,336,56.8,2221,6.6,6.5,16,8,123.3
73,Dondrial Pinkins\dondrial-pinkins-1,South Carolina,SEC,12,162,322,50.3,2127,6.6,6,10,9,110.5
74,Nathan Chandler*\nathan-chandler-1,Iowa,Big Ten,13,165,307,53.7,2040,6.6,6.4,18,10,122.4
75,Gino Guidugli\gino-guidugli-1,Cincinnati,CUSA,12,227,425,53.4,2704,6.4,6,14,10,113
76,Drew Olson*\drew-olson-1,UCLA,Pac-10,12,173,325,53.2,2067,6.4,5.7,10,9,111.3
77,Graham Gochneaur\graham-gochneaur-1,Marshall,MAC,11,121,183,66.1,1163,6.4,4.7,7,10,121.2
78,Brett Basanez*\brett-basanez-1,Northwestern,Big Ten,13,162,302,53.6,1916,6.3,4.8,4,12,103.4
79,Kris Heavner\kris-heavner-1,Arizona,Pac-10,9,121,237,51.1,1501,6.3,4.2,8,15,102.7
80,Desmond Robinson\desmond-robinson-1,East Carolina,CUSA,9,133,201,66.2,1262,6.3,4.1,3,11,112.9
81,Aaron Karas\aaron-karas-1,Baylor,Big 12,10,135,239,56.5,1481,6.2,5,10,11,113.1
82,Derrick Vickers\derrick-vickers-1,Central Michigan,MAC,11,118,216,54.6,1345,6.2,5.8,11,7,117.3
83,Kevin Fant\kevin-fant-1,Mississippi State,SEC,12,186,351,53,2151,6.1,4.2,14,21,105.7
84,Matt LoVecchio\matt-lovecchio-2,Indiana,Big Ten,11,155,291,53.3,1778,6.1,4.9,3,9,101.8
85,Walter Washington\walter-washington-1,Temple,Big East,12,110,207,53.1,1265,6.1,5.6,8,6,111.4
86,Steven Jyles\steven-jyles-1,Louisiana-Monroe,Sun Belt,11,201,360,55.8,2112,5.9,5.1,14,12,111.3
87,Mike Schneider\mike-schneider-1,Duke,ACC,10,97,208,46.6,1220,5.9,5,4,6,96.5
88,Jordan Palmer\jordan-palmer-1,UTEP,WAC,10,98,198,49.5,1168,5.9,3.7,7,13,97.6
89,Kurt Nantkes\kurt-nantkes-1,UNLV,MWC,11,167,323,51.7,1883,5.8,5.2,12,10,106.7
90,Jerry Babb\jerry-babb-1,Louisiana,Sun Belt,11,146,259,56.4,1502,5.8,4.9,6,8,106.6
91,Austin Flynn\austin-flynn-1,Iowa State,Big 12,11,99,212,46.7,1238,5.8,4.2,5,10,94.1
92,Reggie Ball*\reggie-ball-1,Georgia Tech,ACC,13,181,350,51.7,1996,5.7,4.9,10,11,102.8
93,Brad Smith\brad-smith-1,Missouri,Big 12,12,194,320,60.6,1822,5.7,5.5,11,6,116
94,Chris Lewis\chris-lewis-1,Stanford,Pac-10,9,100,207,48.3,1178,5.7,4.5,8,9,100.2
95,Elliot Jacobs\elliot-jacobs-1,Arkansas State,Sun Belt,12,145,273,53.1,1537,5.6,4.2,10,13,103
96,Zack Mills\zack-mills-1,Penn State,Big Ten,10,136,251,54.2,1404,5.6,5.2,6,5,105.1
97,Brady Quinn\brady-quinn-1,Notre Dame,Ind,12,157,332,47.3,1831,5.5,4,9,15,93.5
98,Ronnie Banks\ronnie-banks-1,South Florida,CUSA,9,127,261,48.7,1448,5.5,4.8,8,8,99.2
99,Aaron Leak\aaron-leak-1,Troy,Ind,12,110,259,42.5,1427,5.5,4,7,12,88.4
