Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,David Johnson*\david-johnson-3,Tulsa,CUSA,14,258,400,64.5,4059,10.1,10.4,46,18,178.7
2,Sam Bradford*\sam-bradford-1,Oklahoma,Big 12,14,328,483,67.9,4720,9.8,11.1,50,8,180.8
3,Zac Robinson*\zac-robinson-1,Oklahoma State,Big 12,13,204,314,65,3064,9.8,9.9,25,10,166.8
4,Tim Tebow*\tim-tebow-1,Florida,SEC,14,192,298,64.4,2746,9.2,10.6,30,4,172.4
5,Nate Davis*\nate-davis-1,Ball State,MAC,14,258,401,64.3,3591,9,9.4,26,8,157
6,Matthew Stafford*\matthew-stafford-1,Georgia,SEC,13,235,383,61.4,3459,9,9.2,25,10,153.5
7,Colt McCoy*\colt-mccoy-1,Texas,Big 12,13,332,433,76.7,3859,8.9,9.7,34,8,173.8
8,Mark Sanchez*\mark-sanchez-1,USC,Pac-10,13,241,366,65.8,3207,8.8,9.4,34,10,164.6
9,Kellen Moore*\kellen-moore-1,Boise State,WAC,13,281,405,69.4,3486,8.6,8.7,25,10,157.1
10,Mike Teel*\mike-teel-1,Rutgers,Big East,13,243,396,61.4,3418,8.6,8.4,25,13,148.1
11,Case Keenum*\case-keenum-1,Houston,CUSA,13,397,589,67.4,5020,8.5,9.2,44,11,159.9
12,Joe Ganz*\joe-ganz-1,Nebraska,Big 12,13,285,420,67.9,3568,8.5,8.5,25,11,153.6
13,Chase Clement*\chase-clement-2,Rice,CUSA,13,326,490,66.5,4119,8.4,9.6,44,7,163.9
14,Jevan Snead*\jevan-snead-1,Ole Miss,SEC,13,184,327,56.3,2762,8.4,8.2,26,13,145.5
15,Max Hall*\max-hall-1,Brigham Young,MWC,13,330,477,69.2,3957,8.3,8.4,35,14,157.2
16,Juice Williams\juice-williams-1,Illinois,Big Ten,12,219,381,57.5,3173,8.3,7.6,22,16,138.1
17,Adam Dimichele\adam-dimichele-1,Temple,MAC,9,134,231,58,1911,8.3,8.7,18,6,148
18,Graham Harrell*\graham-harrell-1,Texas Tech,Big 12,13,442,626,70.6,5111,8.2,9,45,9,160
19,Chase Daniel*\chase-daniel-1,Missouri,Big 12,14,385,528,72.9,4335,8.2,8.2,39,18,159.4
20,Daryll Clark*\daryll-clark-1,Penn State,Big Ten,13,192,321,59.8,2592,8.1,8.4,19,6,143.4
21,Todd Reesing*\todd-reesing-1,Kansas,Big 12,13,329,495,66.5,3888,7.9,8,32,13,148.5
22,Trevor Vittatoe\trevor-vittatoe-1,UTEP,CUSA,12,246,418,58.9,3274,7.8,8.4,33,9,146.4
23,Robert Griffin III\robert-griffin-iii-1,Baylor,Big 12,12,160,267,59.9,2091,7.8,8.4,15,3,142
24,Willie Tuitama*\willie-tuitama-1,Arizona,Pac-10,13,259,399,64.9,3088,7.7,8,23,8,144.9
25,Josh Freeman\josh-freeman-1,Kansas State,Big 12,12,224,382,58.6,2945,7.7,7.8,20,8,136.5
26,Billy Farris*\billy-farris-1,Colorado State,MWC,13,233,379,61.5,2934,7.7,7.2,19,13,136.2
27,Matt Grothe*\matt-grothe-1,South Florida,Big East,13,240,380,63.2,2911,7.7,7,18,14,135.8
28,Boo Jackson\boo-jackson-1,Ohio,MAC,12,185,306,60.5,2355,7.7,7.2,19,12,137.8
29,Corey Leonard\corey-leonard-1,Arkansas State,Sun Belt,12,166,306,54.2,2347,7.7,7.5,16,8,130.7
30,Ricky Stanzi*\ricky-stanzi-1,Iowa,Big Ten,13,150,254,59.1,1956,7.7,7.2,14,9,134.8
31,Michael Desormeaux\michael-desormeaux-1,Louisiana,Sun Belt,11,155,247,62.8,1876,7.6,6.6,13,11,135
32,Brian Johnson*\brian-johnson-2,Utah,MWC,13,268,394,68,2972,7.5,7.9,27,9,149.4
33,Jerrod Johnson\jerrod-johnson-1,Texas A&M,Big 12,12,194,326,59.5,2435,7.5,7.4,21,10,137.4
