Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Michael Vick*\michael-vick-1,Virginia Tech,Big East,12,105,182,57.7,2065,11.3,11.5,13,5,171.1
2,Joe Hamilton\joe-hamilton-1,Georgia Tech,ACC,11,203,305,66.6,3060,10,10.3,29,11,175
3,Chad Pennington\chad-pennington-1,Marshall,MAC,12,275,405,67.9,3799,9.4,10,37,11,171.4
4,Jonathan Beasley\jonathan-beasley-1,Kansas State,Big 12,11,90,203,44.3,1805,8.9,8.7,14,7,134.9
5,Jarious Jackson\jarious-jackson-1,Notre Dame,Ind,12,184,316,58.2,2753,8.7,7.8,17,14,140.3
6,Todd Husak\todd-husak-1,Stanford,Pac-10,10,176,308,57.1,2688,8.7,8.3,18,11,142.6
7,Mike Bath\mike-bath-1,Miami (OH),MAC,11,138,295,46.8,2525,8.6,8.2,24,13,136.7
8,Jay Stuckey\jay-stuckey-1,UTEP,WAC,12,145,225,64.4,1918,8.5,7.3,15,13,146.5
9,Jay Stoner\jay-stoner-1,Wyoming,MWC,9,135,222,60.8,1859,8.4,7.7,8,7,136.7
10,Keith Smith\keith-smith-4,Arizona,Pac-10,11,131,228,57.5,1903,8.3,7.6,10,8,135
11,Chris Weinke\chris-weinke-1,Florida State,ACC,11,232,377,61.5,3103,8.2,7.9,25,14,145.1
12,Antwaan Randle El\antwaan-randle-el-1,Indiana,Big Ten,11,150,279,53.8,2277,8.2,8.3,17,7,137.4
13,Mike Moschetti\mike-moschetti-1,Colorado,Big 12,10,204,331,61.6,2693,8.1,7.6,18,12,140.7
14,Darnell Arceneaux\darnell-arceneaux-1,Utah,MWC,9,83,165,50.3,1342,8.1,7.4,10,7,130.1
15,David Neill\david-neill-1,Nevada,Big West,11,247,423,58.4,3402,8,8.2,20,7,138.2
16,Randy McCown\randy-mccown-1,Texas A&M,Big 12,11,152,295,51.5,2374,8,7.5,14,10,128
17,K.C. Enzminger\kc-enzminger-1,New Mexico State,Big West,11,112,236,47.5,1878,8,8.2,14,5,129.6
18,Kevin Feterik\kevin-feterik-1,Brigham Young,MWC,11,277,452,61.3,3554,7.9,7.5,25,15,138.9
19,Jeff Kelly\jeff-kelly-1,Southern Mississippi,CUSA,11,153,260,58.8,2062,7.9,7.6,21,11,143.7
20,Dan Ellis\dan-ellis-1,Virginia,ACC,10,156,258,60.5,2050,7.9,7.8,20,10,145
21,Kevin Thompson\kevin-thompson-2,Penn State,Big Ten,12,133,242,55,1916,7.9,7.3,13,9,131.8
22,Butchie Washington\butchie-washington-1,Akron,MAC,11,131,240,54.6,1896,7.9,7.2,12,9,129.9
23,Bart Hendricks\bart-hendricks-1,Boise State,Big West,12,203,351,57.8,2746,7.8,7.4,22,13,136.8
24,Chris Finlen\chris-finlen-1,Northern Illinois,MAC,11,118,199,59.3,1551,7.8,6.5,12,11,133.6
25,Tim Lester\tim-lester-1,Western Michigan,MAC,12,282,470,60,3639,7.7,7.9,34,13,143.4
