Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Aaron Murray*\aaron-murray-1,Georgia,SEC,14,249,386,64.5,3893,10.1,10.8,36,10,174.8
2,Nick Florence*\nick-florence-1,Baylor,Big 12,13,286,464,61.6,4309,9.3,9.4,33,13,157.5
3,David Fales*\david-fales-1,San Jose State,WAC,13,327,451,72.5,4193,9.3,9.9,33,9,170.8
4,A.J. McCarron*\aj-mccarron-1,Alabama,SEC,14,211,314,67.2,2933,9.3,10.8,30,3,175.3
5,Tajh Boyd*\tajh-boyd-1,Clemson,ACC,13,287,427,67.2,3896,9.1,9.4,36,13,165.6
6,Terrence Broadway*\terrence-broadway-1,Louisiana,Sun Belt,13,206,315,65.4,2847,9,8.8,17,9,153.4
7,Teddy Bridgewater*\teddy-bridgewater-1,Louisville,Big East,13,287,419,68.5,3718,8.9,9.3,27,8,160.5
8,E.J. Manuel*\ej-manuel-1,Florida State,ACC,14,263,387,68,3397,8.8,8.8,23,10,156.1
9,Collin Klein*\collin-klein-1,Kansas State,Big 12,13,197,304,64.8,2641,8.7,8.4,16,9,149.2
10,Brett Smith\brett-smith-1,Wyoming,MWC,10,205,330,62.1,2837,8.6,9.4,27,6,157.7
11,Connor Shaw*\connor-shaw-1,South Carolina,SEC,11,154,228,67.5,1956,8.6,8.7,17,7,158.1
12,Johnny Manziel*\johnny-manziel-1,Texas A&M,SEC,13,295,434,68,3706,8.5,8.8,26,9,155.3
13,Matt Barkley*\matt-barkley-1,USC,Pac-12,11,246,387,63.6,3273,8.5,8.6,36,15,157.6
14,Taylor Kelly*\taylor-kelly-1,Arizona State,Pac-12,13,241,359,67.1,3039,8.5,9,29,9,159.9
15,David Ash*\david-ash-1,Texas,Big 12,12,214,318,67.3,2699,8.5,8.6,19,8,153.3
16,Tyler Wilson\tyler-wilson-1,Arkansas,SEC,11,249,401,62.1,3387,8.4,8,21,13,143.8
17,Tino Sunseri*\tino-sunseri-1,Pitt,Big East,13,256,393,65.1,3288,8.4,9.1,21,3,151.5
18,Chuckie Keeton*\chuckie-keeton-1,Utah State,WAC,13,275,407,67.6,3373,8.3,8.6,27,9,154.7
19,Ryan Aplin*\ryan-aplin-1,Arkansas State,Sun Belt,13,276,406,68,3342,8.2,9,24,4,154.7
20,Geno Smith*\geno-smith-1,West Virginia,Big 12,13,369,518,71.2,4205,8.1,9.2,42,6,163.9
21,Bo Wallace*\bo-wallace-1,Ole Miss,SEC,13,235,368,63.9,2994,8.1,7.3,22,17,142.7
22,Jake Medlock\jake-medlock-1,Florida International,Sun Belt,9,152,263,57.8,2127,8.1,8.7,13,2,140.5
23,Derek Carr*\derek-carr-1,Fresno State,MWC,13,344,511,67.3,4104,8,8.9,37,7,155.9
24,Ryan Nassib*\ryan-nassib-1,Syracuse,Big East,13,294,471,62.4,3749,8,8.1,26,10,143.3
25,Tyler Bray\tyler-bray-1,Tennessee,SEC,12,268,451,59.4,3612,8,8.3,34,12,146.3
26,Bryn Renner\bryn-renner-1,North Carolina,ACC,12,276,422,65.4,3356,8,8.5,28,7,150.8
27,Jordan Lynch*\jordan-lynch-1,Northern Illinois,MAC,14,237,394,60.2,3138,8,8.5,25,6,144.9
28,Corey Robinson\corey-robinson-1,Troy,Sun Belt,11,257,389,66.1,3121,8,7.6,12,9,139
29,Marcus Mariota*\marcus-mariota-1,Oregon,Pac-12,13,230,336,68.5,2677,8,9.1,32,6,163.2
30,Jordan Rodgers*\jordan-rodgers-1,Vanderbilt,SEC,12,191,319,59.9,2539,8,8.2,15,5,139.1
31,Kawaun Jakes*\kawaun-jakes-1,Western Kentucky,Sun Belt,13,200,312,64.1,2488,8,7.8,22,11,147.3
32,Braxton Miller\braxton-miller-1,Ohio State,Big Ten,12,148,254,58.3,2039,8,8.1,15,6,140.5
33,Colby Cameron\colby-cameron-1,Louisiana Tech,WAC,12,359,522,68.8,4147,7.9,8.7,31,5,153.2
34,Stephen Morris\stephen-morris-1,Miami (FL),ACC,12,245,421,58.2,3345,7.9,8.2,21,7,138.1
35,Sean Mannion*\sean-mannion-1,Oregon State,Pac-12,10,200,309,64.7,2446,7.9,7,15,13,138.8
36,Seth Doege*\seth-doege-1,Texas Tech,Big 12,13,380,541,70.2,4205,7.8,7.9,39,16,153.4
37,Brett Hundley*\brett-hundley-1,UCLA,Pac-12,14,318,478,66.5,3740,7.8,8,29,11,147.7
38,Ryan Radcliff*\ryan-radcliff-1,Central Michigan,MAC,13,242,407,59.5,3163,7.8,7.9,23,9,139
39,Taylor Martinez*\taylor-martinez-1,Nebraska,Big Ten,14,228,368,62,2871,7.8,7.6,23,12,141.6
40,Landry Jones*\landry-jones-1,Oklahoma,Big 12,13,367,555,66.1,4267,7.7,7.9,30,11,144.6
41,Blake Bortles*\blake-bortles-1,UCF,CUSA,14,251,399,62.9,3059,7.7,8.1,25,7,144.5
42,Tyler Tettleton*\tyler-tettleton-1,Ohio,MAC,12,228,367,62.1,2844,7.7,8.2,18,4,141.2
43,Terrance Owens*\terrance-owens-1,Toledo,MAC,12,215,350,61.4,2707,7.7,7.5,14,8,135
44,Logan Kilgore\logan-kilgore-1,Middle Tennessee State,Sun Belt,12,212,335,63.3,2571,7.7,7.8,16,6,139.9
45,Cody Fajardo*\cody-fajardo-1,Nevada,MWC,12,246,367,67,2786,7.6,7.6,20,9,143.9
46,Everett Golson*\everett-golson-1,Notre Dame,Ind,12,187,318,58.8,2405,7.6,7.5,12,6,131
47,Shane Carden*\shane-carden-1,East Carolina,CUSA,13,273,413,66.1,3116,7.5,7.6,23,10,143
48,Austin Brown\austin-brown-2,UAB,CUSA,12,205,355,57.7,2673,7.5,6.9,15,12,128.2
49,Zach Maynard\zach-maynard-1,California,Pac-12,10,180,296,60.8,2214,7.5,6.8,12,10,130.3
50,Munchie Legaux*\munchie-legaux-1,Cincinnati,Big East,11,120,230,52.2,1716,7.5,6.8,13,9,125.7
51,Tyler Russell*\tyler-russell-1,Mississippi State,SEC,13,231,394,58.6,2897,7.4,7.4,24,10,135.4
52,Joe Southwick*\joe-southwick-1,Boise State,MWC,13,248,371,66.8,2730,7.4,7.5,19,7,141.8
53,Chandler Whitmer\chandler-whitmer-1,Connecticut,Big East,12,208,361,57.6,2664,7.4,5.9,9,16,119
54,Zach Mettenberger*\zach-mettenberger-1,LSU,SEC,13,207,352,58.8,2609,7.4,7.2,12,7,128.3
55,Eric Soza\eric-soza-1,UTSA,WAC,10,166,282,58.9,2085,7.4,8.3,20,3,142.2
56,Matt Scott*\matt-scott-1,Arizona,Pac-12,12,301,499,60.3,3620,7.3,7.1,27,14,133.5
57,Zac Dysert\zac-dysert-1,Miami (OH),MAC,12,302,480,62.9,3483,7.3,7.2,25,12,136.1
58,Matt McGloin\matt-mcgloin-1,Penn State,Big Ten,12,270,446,60.5,3271,7.3,7.9,24,5,137.7
59,Rakeem Cato\rakeem-cato-1,Marshall,CUSA,12,406,584,69.5,4201,7.2,7.6,37,11,147.1
60,Andrew Manley\andrew-manley-1,New Mexico State,WAC,12,207,384,53.9,2764,7.2,6.8,18,11,124.1
61,B.J. Daniels\bj-daniels-1,South Florida,Big East,9,165,290,56.9,2075,7.2,6.6,14,10,126
62,Michael Rocco\michael-rocco-1,Virginia,ACC,11,161,266,60.5,1917,7.2,6.5,13,10,129.7
63,Mike Glennon*\mike-glennon-1,North Carolina State,ACC,13,330,564,58.5,4031,7.1,6.9,31,17,130.7
64,Sean Renfree*\sean-renfree-1,Duke,ACC,12,297,441,67.3,3113,7.1,6.9,19,10,136.3
65,Kolton Browning*\kolton-browning-1,Louisiana-Monroe,Sun Belt,12,273,428,63.8,3049,7.1,7.4,29,10,141.3
