Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Akili Smith*\akili-smith-1,Oregon,Pac-10,12,215,371,58,3763,10.1,10.9,32,8,167.3
2,Cade McNown*\cade-mcnown-1,UCLA,Pac-10,12,207,357,58,3470,9.7,9.7,25,11,156.6
3,Shaun King*\shaun-king-1,Tulane,CUSA,12,246,366,67.2,3508,9.6,10.9,38,6,178.7
4,Michael Bishop\michael-bishop-1,Kansas State,Big 12,12,164,295,55.6,2844,9.6,10.4,23,5,158.9
5,David Neill\david-neill-1,Nevada,Big West,9,199,344,57.8,3249,9.4,10,29,9,159.8
6,Jarious Jackson*\jarious-jackson-1,Notre Dame,Ind,11,104,188,55.3,1740,9.3,9.2,13,6,149.5
7,Daunte Culpepper\daunte-culpepper-1,UCF,Ind,11,296,402,73.6,3690,9.2,9.8,28,7,170.2
8,Major Applewhite\major-applewhite-1,Texas,Big 12,11,159,273,58.2,2453,9,8.5,18,11,147.4
9,Tim Rattay\tim-rattay-1,Louisiana Tech,Ind,12,380,559,68,4943,8.8,9.4,46,13,164.8
10,Joe Germaine*\joe-germaine-1,Ohio State,Big Ten,12,230,384,59.9,3330,8.7,9.2,25,7,150.6
11,Chris Weinke\chris-weinke-1,Florida State,ACC,10,145,286,50.7,2487,8.7,9.1,19,6,141.5
12,Marc Bulger*\marc-bulger-1,West Virginia,Big East,12,274,419,65.4,3607,8.6,9,31,10,157.3
13,Quincy Carter\quincy-carter-1,Georgia,SEC,11,176,290,60.7,2484,8.6,8,12,9,140.1
14,Doug Johnson\doug-johnson-3,Florida,SEC,10,154,274,56.2,2346,8.6,8.6,19,8,145.2
15,Chris Redman\chris-redman-1,Louisville,CUSA,10,309,473,65.3,4042,8.5,8.3,29,15,151
16,Scott Covington\scott-covington-1,Miami (FL),Big East,11,159,270,58.9,2301,8.5,8.6,19,8,147.8
17,Donovan McNabb\donovan-mcnabb-1,Syracuse,Big East,11,157,251,62.5,2134,8.5,9.4,22,5,158.9
18,Chad Pennington*\chad-pennington-1,Marshall,MAC,13,297,456,65.1,3830,8.4,8.9,28,7,152.9
19,Jamie Barnette\jamie-barnette-1,North Carolina State,ACC,11,193,377,51.2,3169,8.4,8,18,11,131.7
20,Clint Stoerner\clint-stoerner-1,Arkansas,SEC,11,167,312,53.5,2629,8.4,8.9,26,8,146.7
21,Joe Hamilton\joe-hamilton-1,Georgia Tech,ACC,11,145,259,56,2166,8.4,8.3,17,8,141.7
22,Ryan Kealy\ryan-kealy-1,Arizona State,Pac-10,10,150,261,57.5,2161,8.3,8.2,19,9,144.1
23,Tim Lester\tim-lester-1,Western Michigan,MAC,11,236,406,58.1,3311,8.2,7.5,22,16,136.6
24,Lee Roberts\lee-roberts-1,Southern Mississippi,CUSA,11,185,325,56.9,2680,8.2,8.2,24,11,143.8
