Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Rex Grossman\rex-grossman-1,Florida,SEC,11,259,395,65.6,3896,9.9,10.2,34,12,170.8
2,Jeff Smoker*\jeff-smoker-1,Michigan State,Big Ten,11,166,262,63.4,2579,9.8,10.1,21,8,166.4
3,Chris Rix\chris-rix-1,Florida State,ACC,11,165,286,57.7,2734,9.6,9.2,24,13,156.6
4,Ryan Dinwiddie\ryan-dinwiddie-1,Boise State,WAC,11,201,322,62.4,3043,9.5,9.7,29,11,164.7
5,David Carr*\david-carr-1,Fresno State,WAC,14,344,533,64.5,4839,9.1,10,46,9,165.9
6,Rohan Davey\rohan-davey-1,LSU,SEC,12,217,367,59.1,3347,9.1,8.9,18,10,146.5
7,Jeff Krohn\jeff-krohn-1,Arizona State,Pac-10,10,115,213,54,1942,9.1,9.4,19,7,153.4
8,Wes Counts\wes-counts-1,Middle Tennessee State,Sun Belt,11,188,259,72.6,2327,9,9.6,17,4,166.6
9,Cory Paus\cory-paus-1,UCLA,Pac-10,10,101,194,52.1,1740,9,7.9,8,8,132.8
10,Byron Leftwich\byron-leftwich-1,Marshall,MAC,12,315,470,67,4132,8.8,9.7,38,7,164.6
11,Brandon Doman\brandon-doman-1,Brigham Young,MWC,13,261,408,64,3542,8.7,9.4,33,8,159.7
12,David Greene\david-greene-1,Georgia,SEC,11,192,324,59.3,2789,8.6,8.4,17,9,143.3
13,Steve Bellisari\steve-bellisari-1,Ohio State,Big Ten,9,98,185,53,1599,8.6,8,8,6,133.4
14,Casey Clausen\casey-clausen-1,Tennessee,SEC,12,227,354,64.1,2969,8.4,8.5,22,9,150
15,Nick Rolovich\nick-rolovich-1,Hawaii,WAC,10,233,405,57.5,3361,8.3,9,34,9,150.5
16,Ken Dorsey\ken-dorsey-1,Miami (FL),Big East,11,184,318,57.9,2652,8.3,8.5,23,9,146.1
17,Darian Durant\darian-durant-1,North Carolina,ACC,12,142,223,63.7,1843,8.3,7.8,17,10,149.3
18,Ryan Schneider\ryan-schneider-1,UCF,Ind,11,204,357,57.1,2923,8.2,8,17,9,136.6
19,Ben Roethlisberger\ben-roethlisberger-1,Miami (OH),MAC,12,241,381,63.3,3105,8.1,7.9,25,13,146.5
20,Gino Guidugli\gino-guidugli-1,Cincinnati,CUSA,10,185,317,58.4,2573,8.1,7.8,16,9,137.5
21,George Godsey\george-godsey-1,Georgia Tech,ACC,12,249,384,64.8,3085,8,7.7,18,11,142.1
22,Dave Ragone\dave-ragone-1,Louisville,CUSA,12,231,383,60.3,3056,8,8.4,23,7,143.5
23,Jason Gesser*\jason-gesser-1,Washington State,Pac-10,12,199,375,53.1,3010,8,7.9,26,13,136.4
24,Kurt Kittner\kurt-kittner-1,Illinois,Big Ten,11,207,374,55.3,2994,8,7.7,23,13,135.9
25,Cody Pickett\cody-pickett-1,Washington,Pac-10,10,169,301,56.1,2403,8,6.6,10,14,124.9
26,Tavares Bolden\tavares-bolden-1,Toledo,MAC,10,200,291,68.7,2331,8,8.1,13,5,147.3
27,Kyle McCann*\kyle-mccann-1,Iowa,Big Ten,12,167,252,66.3,2028,8,7.4,16,11,146.1
