Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
87,Omar Haugabook\omar-haugabook-1,Troy,Sun Belt,12,291,475,61.3,2975,6.3,5.6,18,15,120.1
88,Stephen McGee*\stephen-mcgee-1,Texas A&M,Big 12,13,211,364,58,2311,6.3,6,12,8,117.8
89,Jake Locker\jake-locker-1,Washington,Pac-10,12,155,328,47.3,2062,6.3,5.1,14,15,105
90,Travis Dixon\travis-dixon-1,UNLV,MWC,12,159,299,53.2,1873,6.3,5.6,8,8,109.3
91,Kinsmon Lancaster\kinsmon-lancaster-1,Louisiana-Monroe,Sun Belt,12,174,294,59.2,1866,6.3,5.7,13,10,120.3
92,Andy Schmitt\andy-schmitt-1,Eastern Michigan,MAC,11,164,255,64.3,1613,6.3,6.4,14,6,130.9
93,John Parker Wilson*\john-parker-wilson-1,Alabama,SEC,13,255,462,55.2,2846,6.2,5.8,18,12,114.6
94,Blake Szymanski\blake-szymanski-1,Baylor,Big 12,11,264,461,57.3,2844,6.2,5.4,22,18,117
95,Giovanni Vizza\giovanni-vizza-1,North Texas,Sun Belt,10,223,383,58.2,2388,6.2,4.8,17,20,114.8
96,Carson Williams\carson-williams-1,Army,Ind,12,151,287,52.6,1770,6.2,5.1,11,12,108.7
97,Jake Christensen\jake-christensen-1,Iowa,Big Ten,12,198,370,53.5,2269,6.1,6.3,17,6,116.9
98,Jameel Sewell*\jameel-sewell-1,Virginia,ACC,13,214,364,58.8,2176,6,5.5,12,9,114.9
99,Daniel Evans\daniel-evans-1,North Carolina State,ACC,12,194,339,57.2,2030,6,5,12,13,111.5
100,Nathan Enderle\nathan-enderle-1,Idaho,WAC,10,132,298,44.3,1787,6,3.9,10,18,93.7
101,Pat Bostick\pat-bostick-1,Pitt,Big East,10,155,252,61.5,1500,6,4.3,8,13,111.7
102,Chris Jacquemain\chris-jacquemain-1,Akron,MAC,11,154,275,56,1623,5.9,5.1,11,10,111.5
103,Sam Hunt\sam-hunt-1,UAB,CUSA,12,155,331,46.8,1905,5.8,4.5,10,14,96.7
104,Sean Canfield*\sean-canfield-1,Oregon State,Pac-10,11,165,286,57.7,1661,5.8,4.1,9,15,106.4
105,Michael Desormeaux\michael-desormeaux-1,Louisiana,Sun Belt,11,133,242,55,1405,5.8,4.8,10,10,109.1
106,Tavita Pritchard\tavita-pritchard-1,Stanford,Pac-10,9,97,194,50,1114,5.7,4.2,5,9,97.5
107,Mackenzi Adams\mackenzi-adams-1,Vanderbilt,SEC,12,101,182,55.5,1043,5.7,5.2,9,6,113.4
108,Zac Champion\zac-champion-1,Louisiana Tech,WAC,12,227,395,57.5,2221,5.6,5.1,13,10,110.5
109,Bret Meyer\bret-meyer-1,Iowa State,Big 12,12,233,382,61,2151,5.6,4.6,9,13,109.3
110,Karsten Sween\karsten-sween-1,Wyoming,MWC,12,215,359,59.9,2028,5.6,4.2,12,17,108.9
111,Wesley Carroll*\wesley-carroll-1,Mississippi State,SEC,13,134,255,52.5,1392,5.5,4.9,9,7,104.6
112,Wayne Younger\wayne-younger-1,Florida International,Sun Belt,11,121,265,45.7,1357,5.1,2.9,9,17,87.1
113,Jimmy Clausen\jimmy-clausen-1,Notre Dame,Ind,10,138,245,56.3,1254,5.1,4.6,7,6,103.9
