Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Ryan Schneider\ryan-schneider-1,UCF,MAC,12,265,430,61.6,3770,8.8,8.5,31,16,151.6
2,Brad Banks*\brad-banks-1,Iowa,Big Ten,13,170,294,57.8,2573,8.8,9.8,26,5,157.1
3,Scott McBrien*\scott-mcbrien-1,Maryland,ACC,14,162,284,57,2497,8.8,8.3,15,10,141.3
4,Byron Leftwich*\byron-leftwich-1,Marshall,MAC,12,331,491,67.4,4268,8.7,9,30,10,156.5
5,Ken Dorsey*\ken-dorsey-1,Miami (FL),Big East,13,222,393,56.5,3369,8.6,8.6,28,12,145.9
6,Bryan Randall*\bryan-randall-1,Virginia Tech,Big East,14,158,248,63.7,2134,8.6,7.6,12,11,143.1
7,Jason Gesser*\jason-gesser-1,Washington State,Pac-10,13,236,402,58.7,3408,8.5,8.4,28,13,146.4
8,Craig Krenzel*\craig-krenzel-1,Ohio State,Big Ten,14,148,249,59.4,2110,8.5,8.2,12,7,140.9
9,James MacPherson*\james-macpherson-1,Wake Forest,ACC,13,123,223,55.2,1837,8.2,8.1,8,4,132.6
10,Carson Palmer*\carson-palmer-1,USC,Pac-10,13,309,489,63.2,3942,8.1,8.5,33,10,149.1
11,Brian Jones*\brian-jones-2,Toledo,MAC,14,297,423,70.2,3446,8.1,8.3,23,9,152.3
12,Jason Johnson\jason-johnson-2,Arizona,Pac-10,12,239,410,58.3,3327,8.1,7.5,16,13,133
13,Chris Simms*\chris-simms-1,Texas,Big 12,13,235,396,59.3,3207,8.1,8,26,12,143
14,Andrew Walter*\andrew-walter-1,Arizona State,Pac-10,14,274,483,56.7,3877,8,7.8,28,15,137.1
15,Philip Rivers*\philip-rivers-1,North Carolina State,ACC,14,262,418,62.7,3353,8,7.9,20,10,141.1
16,Josh Haldi\josh-haldi-1,Northern Illinois,MAC,12,130,254,51.2,2027,8,8.1,15,6,133
17,Nick Eddy\nick-eddy-1,Houston,CUSA,11,134,265,50.6,2054,7.8,5.9,16,18,122
18,Josh Fields*\josh-fields-1,Oklahoma State,Big 12,13,226,408,55.4,3145,7.7,8.1,31,10,140.3
19,David Greene*\david-greene-1,Georgia,SEC,14,218,379,57.5,2924,7.7,7.9,22,8,137.3
20,Jon Beutjer\jon-beutjer-1,Illinois,Big Ten,11,193,327,59,2511,7.7,7.4,21,11,138
21,Zack Threadgill\zack-threadgill-1,Nevada,WAC,12,275,451,61,3418,7.6,7,26,17,136.1
22,Ben Roethlisberger\ben-roethlisberger-1,Miami (OH),MAC,12,271,428,63.3,3238,7.6,7.4,22,11,138.7
23,Rod Rutherford*\rod-rutherford-1,Pitt,Big East,13,192,367,52.3,2783,7.6,7.3,22,12,129.3
24,Gino Guidugli*\gino-guidugli-1,Cincinnati,CUSA,14,258,472,54.7,3543,7.5,6.4,22,21,124.2
25,Jason Fife*\jason-fife-1,Oregon,Pac-10,13,190,367,51.8,2752,7.5,7.6,24,10,130.9
26,Dustin Long\dustin-long-1,Texas A&M,Big 12,12,177,333,53.2,2509,7.5,6.5,19,16,125.7
27,Chris Rix*\chris-rix-1,Florida State,ACC,11,118,225,52.4,1684,7.5,7.2,13,7,128.2
28,Derek Anderson*\derek-anderson-1,Oregon State,Pac-10,13,211,449,47,3313,7.4,7.2,25,13,121.6
29,Charlie Frye\charlie-frye-1,Akron,MAC,12,250,380,65.8,2824,7.4,7.2,15,9,136.5
