Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Colt Brennan*\colt-brennan-1,Hawaii,WAC,14,406,559,72.6,5549,9.9,11,58,12,186
2,Brian Brohm*\brian-brohm-1,Louisville,Big East,11,199,313,63.6,3049,9.7,10,16,5,159.1
3,John Beck*\john-beck-1,Brigham Young,MWC,12,289,417,69.3,3885,9.3,10,32,8,169.1
4,JaMarcus Russell*\jamarcus-russell-1,LSU,SEC,13,232,342,67.8,3129,9.1,9.7,28,8,167
5,Jared Zabransky*\jared-zabransky-1,Boise State,WAC,13,191,288,66.3,2587,9,9.3,23,8,162.6
6,Tyler Palko\tyler-palko-1,Pitt,Big East,12,220,322,68.3,2871,8.9,9.2,25,9,163.2
7,Kevin Kolb*\kevin-kolb-1,Houston,CUSA,14,292,432,67.6,3809,8.8,9.8,30,4,162.7
8,Erik Ainge*\erik-ainge-1,Tennessee,SEC,12,233,348,67,2989,8.6,8.5,19,9,151.9
9,Bobby Reid*\bobby-reid-1,Oklahoma State,Big 12,13,148,267,55.4,2266,8.5,8.4,24,11,148.1
10,Jordan Palmer\jordan-palmer-1,UTEP,CUSA,12,282,429,65.7,3595,8.4,8.1,26,14,149.6
11,Andre Woodson*\andre-woodson-1,Kentucky,SEC,13,264,419,63,3515,8.4,9.1,31,7,154.5
12,Adam Tafralis*\adam-tafralis-1,San Jose State,WAC,13,181,276,65.6,2284,8.3,8.7,21,7,155.1
13,Chase Holbrook\chase-holbrook-1,New Mexico State,WAC,12,396,566,70,4619,8.2,8.6,34,9,155.2
14,Zac Taylor*\zac-taylor-1,Nebraska,Big 12,14,233,391,59.6,3197,8.2,8.6,26,8,146.1
15,Troy Smith*\troy-smith-1,Ohio State,Big Ten,13,203,311,65.3,2542,8.2,9.2,30,6,161.9
16,John Stocco*\john-stocco-1,Wisconsin,Big Ten,11,158,268,59,2185,8.2,8.4,17,6,143.9
17,Chris Leak*\chris-leak-1,Florida,SEC,14,232,365,63.6,2942,8.1,7.7,23,13,144.9
18,Matt Grothe*\matt-grothe-1,South Florida,Big East,13,202,317,63.7,2576,8.1,7.1,15,14,138.8
19,Colt McCoy*\colt-mccoy-1,Texas,Big 12,13,217,318,68.2,2570,8.1,8.9,29,7,161.8
20,Brandon Cox*\brandon-cox-1,Auburn,SEC,13,163,271,60.1,2198,8.1,7.6,14,9,138.7
21,Nate Davis\nate-davis-1,Ball State,MAC,12,150,245,61.2,1975,8.1,8.1,18,8,146.7
22,Matt Moore*\matt-moore-1,Oregon State,Pac-10,14,229,378,60.6,3022,8,8.1,18,7,139.7
23,Nate Longshore*\nate-longshore-1,California,Pac-10,13,227,377,60.2,3021,8,7.7,24,13,141.6
24,Bryan Cupito*\bryan-cupito-1,Minnesota,Big Ten,13,214,359,59.6,2819,7.9,7.9,22,9,140.8
25,Paul Thompson*\paul-thompson-1,Oklahoma,Big 12,14,204,336,60.7,2667,7.9,7.8,22,11,142.4
26,Riley Skinner*\riley-skinner-1,Wake Forest,ACC,14,171,260,65.8,2051,7.9,7.7,9,5,139.6
27,Chase Daniel*\chase-daniel-1,Missouri,Big 12,13,287,452,63.5,3527,7.8,8,28,10,145.1
28,Dan Lefevour*\dan-lefevour-1,Central Michigan,MAC,14,247,388,63.7,3031,7.8,8,26,10,146.2
29,Paul Smith*\paul-smith-2,Tulsa,CUSA,13,233,350,66.6,2727,7.8,7.5,15,9,141
30,Jeff Ballard*\jeff-ballard-1,Texas Christian,MWC,13,190,307,61.9,2394,7.8,7.9,13,5,138.1
31,John David Booty*\john-david-booty-1,USC,Pac-10,13,269,436,61.7,3347,7.7,8.1,29,9,144
32,Will Proctor*\will-proctor-1,Clemson,ACC,13,183,304,60.2,2353,7.7,7.2,16,11,135.3
33,Julian Edelman\julian-edelman-1,Kent State,MAC,11,134,242,55.4,1859,7.7,6.5,10,11,124.4
34,Rudy Carpenter*\rudy-carpenter-1,Arizona State,Pac-10,13,184,332,55.4,2523,7.6,7.1,23,14,133.7
35,Chad Henne*\chad-henne-1,Michigan,Big Ten,13,203,328,61.9,2508,7.6,7.9,22,8,143.4
36,Justin Willis\justin-willis-1,SMU,CUSA,11,182,270,67.4,2047,7.6,8.5,26,6,158.4
37,Curtis Painter*\curtis-painter-1,Purdue,Big Ten,14,315,530,59.4,3985,7.5,6.7,22,19,129.1
38,Drew Tate*\drew-tate-1,Iowa,Big Ten,11,207,352,58.8,2623,7.5,6.8,18,13,130.9
39,Graham Harrell*\graham-harrell-1,Texas Tech,Big 12,13,412,617,66.8,4555,7.4,7.8,38,11,145.5
40,Brady Quinn*\brady-quinn-1,Notre Dame,Ind,13,289,467,61.9,3426,7.3,8.2,37,7,146.7
41,Alex Brink\alex-brink-1,Washington State,Pac-10,12,241,396,60.9,2899,7.3,7.1,19,10,133.1
42,Stephen McGee*\stephen-mcgee-1,Texas A&M,Big 12,13,194,313,62,2295,7.3,7.8,12,2,134.9
43,Sean Glennon*\sean-glennon-1,Virginia Tech,ACC,13,170,302,56.3,2191,7.3,6.3,11,11,122
44,Dustin Grutza*\dustin-grutza-1,Cincinnati,Big East,12,137,225,60.9,1632,7.3,5.5,9,13,123.5
45,Brett Ratliff*\brett-ratliff-1,Utah,MWC,13,228,391,58.3,2796,7.2,7.3,23,9,133.2
46,Sam Hollenbach*\sam-hollenbach-1,Maryland,ACC,13,203,328,61.9,2371,7.2,6.6,15,11,131
47,Mike Teel*\mike-teel-1,Rutgers,Big East,13,164,296,55.4,2135,7.2,6,12,13,120.6
48,Phil Horvath*\phil-horvath-1,Northern Illinois,MAC,11,157,269,58.4,1932,7.2,6.5,11,9,125.5
49,Jeff Rowe*\jeff-rowe-1,Nevada,WAC,12,172,266,64.7,1907,7.2,7.1,17,8,140
50,Kinsmon Lancaster\kinsmon-lancaster-1,Louisiana-Monroe,Sun Belt,12,142,250,56.8,1789,7.2,5.2,7,14,115
51,Bernard Morris\bernard-morris-1,Marshall,CUSA,11,116,188,61.7,1346,7.2,5.1,8,12,123.1
52,John Parker Wilson*\john-parker-wilson-1,Alabama,SEC,13,216,379,57,2707,7.1,6.9,17,10,126.5
53,Caleb Hanie\caleb-hanie-1,Colorado State,MWC,12,209,342,61.1,2427,7.1,6.2,11,12,124.3
54,Chris Nickson\chris-nickson-1,Vanderbilt,SEC,12,160,292,54.8,2085,7.1,6.2,15,13,122.8
55,Lester Ricard\lester-ricard-1,Tulane,CUSA,12,229,400,57.3,2795,7,6.8,18,10,125.8
56,James Pinkney*\james-pinkney-1,East Carolina,CUSA,13,232,397,58.4,2783,7,6.5,12,10,122.3
57,Luke Getsy\luke-getsy-1,Akron,MAC,12,199,380,52.4,2662,7,6.7,18,11,121.1
58,Matt Ryan*\matt-ryan-1,Boston College,ACC,12,263,427,61.6,2942,6.9,6.5,15,10,126.4
59,Adam Dimichele\adam-dimichele-1,Temple,Ind,11,135,220,61.4,1518,6.9,5.4,10,12,123.4
60,Martin Hankins\martin-hankins-1,Memphis,CUSA,12,226,377,59.9,2550,6.8,6.2,18,13,125.6
61,Bret Meyer\bret-meyer-1,Iowa State,Big 12,12,211,374,56.4,2546,6.8,6,12,12,117.8
62,Zac Champion\zac-champion-1,Louisiana Tech,WAC,13,190,364,52.2,2466,6.8,5.3,14,18,111.9
63,Mike Kokal\mike-kokal-1,Miami (OH),MAC,11,208,355,58.6,2419,6.8,6.6,14,8,124.3
64,Steven Wichman\steven-wichman-1,Idaho,WAC,12,155,319,48.6,2158,6.8,5.3,8,14,104.9
65,Drew Weatherford*\drew-weatherford-1,Florida State,ACC,12,177,318,55.7,2154,6.8,6,12,11,118.1
66,Clint Marks*\clint-marks-1,Middle Tennessee State,Sun Belt,13,171,283,60.4,1917,6.8,5.9,8,9,120.3
67,Matthew Stafford*\matthew-stafford-1,Georgia,SEC,13,135,256,52.7,1749,6.8,5.1,7,13,109
68,Shawn Bell\shawn-bell-1,Baylor,Big 12,9,241,383,62.9,2582,6.7,6.6,19,10,130.7
69,Dennis Dixon*\dennis-dixon-1,Oregon,Pac-10,12,197,322,61.2,2143,6.7,5.4,12,14,120.7
70,Drew Stanton\drew-stanton-1,Michigan State,Big Ten,11,164,269,61,1807,6.7,5.9,12,10,124.7
71,Joe Dailey\joe-dailey-1,North Carolina,ACC,10,112,195,57.4,1316,6.7,5.2,7,10,115.7
72,Josh Freeman*\josh-freeman-1,Kansas State,Big 12,11,140,270,51.9,1780,6.6,4.5,6,15,103.5
73,Rusty Smith\rusty-smith-1,Florida Atlantic,Sun Belt,12,108,194,55.7,1285,6.6,5.4,6,8,113.3
74,Patrick Cowan*\patrick-cowan-1,UCLA,Pac-10,12,145,276,52.5,1782,6.5,5.8,11,9,113.4
75,Kellen Lewis\kellen-lewis-1,Indiana,Big Ten,11,190,346,54.9,2221,6.4,6.3,14,7,118.1
76,Chase Clement\chase-clement-2,Rice,CUSA,9,153,265,57.7,1707,6.4,7.2,21,5,134.2
77,Steven Moffett\steven-moffett-1,UCF,CUSA,10,119,215,55.3,1385,6.4,6.1,8,5,117.1
78,Anthony Morelli*\anthony-morelli-1,Penn State,Big Ten,13,208,386,53.9,2424,6.3,5.9,11,8,111.9
79,Thaddeus Lewis\thaddeus-lewis-2,Duke,ACC,12,180,340,52.9,2134,6.3,4.8,11,16,106.9
80,Jeremy Young*\jeremy-young-1,Southern Mississippi,CUSA,14,161,281,57.3,1769,6.3,6.2,12,6,120
81,Anthony Turner\anthony-turner-1,Bowling Green State,MAC,10,144,252,57.1,1596,6.3,6.3,11,5,120.8
82,Willie Tuitama\willie-tuitama-1,Arizona,Pac-10,10,118,211,55.9,1335,6.3,5.7,7,6,114.3
83,Perry Patterson\perry-patterson-1,Syracuse,Big East,12,158,300,52.7,1865,6.2,6.4,12,4,115.4
84,Karsten Sween\karsten-sween-1,Wyoming,MWC,9,128,212,60.4,1304,6.2,5.3,9,8,118.5
85,Omar Haugabook*\omar-haugabook-1,Troy,Sun Belt,13,241,393,61.3,2401,6.1,5.2,21,17,121.6
86,Rocky Hinds\rocky-hinds-1,UNLV,MWC,12,194,359,54,2148,6,4.8,8,13,104.4
87,Daniel Evans\daniel-evans-1,North Carolina State,ACC,12,163,307,53.1,1843,6,4.8,6,11,102.8
88,Reggie Ball*\reggie-ball-1,Georgia Tech,ACC,13,135,304,44.4,1820,6,5.2,20,14,107.2
89,Corey Leonard\corey-leonard-1,Arkansas State,Sun Belt,12,109,222,49.1,1321,6,5,8,8,103.8
90,Ryan Cubit*\ryan-cubit-1,Western Michigan,MAC,11,224,365,61.4,2138,5.9,5.1,16,13,117.9
91,Jerry Babb\jerry-babb-1,Louisiana,Sun Belt,12,140,262,53.4,1535,5.9,4.1,9,14,103.3
92,Brent Schaeffer\brent-schaeffer-1,Ole Miss,SEC,12,115,244,47.1,1442,5.9,4.8,9,10,100.7
93,Bernard Jackson\bernard-jackson-1,Colorado,Big 12,12,108,219,49.3,1298,5.9,5.1,7,7,103.3
94,Juice Williams\juice-williams-1,Illinois,Big Ten,12,103,261,39.5,1489,5.7,4.8,9,9,91.9
95,Tom Brandstater\tom-brandstater-1,Fresno State,WAC,11,146,268,54.5,1490,5.6,4.2,13,14,106.7
96,Andy Schmitt\andy-schmitt-1,Eastern Michigan,MAC,9,131,213,61.5,1182,5.5,4.5,2,6,105.6
