Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Stefan Lefors*\stefan-lefors-1,Louisville,CUSA,12,189,257,73.5,2596,10.1,11.1,20,3,181.7
2,Jason Campbell*\jason-campbell-1,Auburn,SEC,13,188,270,69.6,2700,10,10.3,20,7,172.9
3,Alex Smith*\alex-smith-3,Utah,MWC,12,214,317,67.5,2952,9.3,10.8,32,4,176.5
4,Jared Zabransky*\jared-zabransky-1,Boise State,WAC,12,206,327,63,2927,9,8.3,16,12,147
5,Bruce Gradkowski*\bruce-gradkowski-1,Toledo,MAC,13,280,399,70.2,3518,8.8,9.3,27,8,162.6
6,Jared Allen\jared-allen-1,Florida Atlantic,Sun Belt,12,177,291,60.8,2554,8.8,8.4,13,8,143.8
7,Omar Jacobs*\omar-jacobs-1,Bowling Green State,MAC,12,309,462,66.9,4002,8.7,10,41,4,167.2
8,Donovan Woods*\donovan-woods-1,Oklahoma State,Big 12,12,97,187,51.9,1628,8.7,8.9,13,5,142.6
9,Darrell Hackney*\darrell-hackney-1,UAB,CUSA,12,197,358,55,3070,8.6,9,26,8,146.6
10,David Greene*\david-greene-1,Georgia,SEC,12,175,299,58.5,2508,8.4,9.1,20,4,148.4
11,Jason White*\jason-white-1,Oklahoma,Big 12,13,255,390,65.4,3205,8.2,9,35,9,159.4
12,Matt Leinart*\matt-leinart-1,USC,Pac-10,13,269,412,65.3,3322,8.1,9,33,6,156.5
13,Reggie McNeal*\reggie-mcneal-1,Texas A&M,Big 12,12,200,344,58.1,2791,8.1,8.4,14,4,137.4
14,Aaron Rodgers*\aaron-rodgers-1,California,Pac-10,12,209,316,66.1,2566,8.1,8.5,24,8,154.3
15,Lester Ricard\lester-ricard-1,Tulane,CUSA,9,143,231,61.9,1881,8.1,8.2,21,9,152.5
16,Chris Leak*\chris-leak-1,Florida,SEC,12,238,399,59.6,3197,8,8.1,29,12,144.9
17,Bryan Cupito*\bryan-cupito-1,Minnesota,Big Ten,12,123,261,47.1,2097,8,7.9,14,7,127
18,Josh Betts*\josh-betts-1,Miami (OH),MAC,13,267,442,60.4,3495,7.9,7.5,23,14,137.7
19,Kyle Orton*\kyle-orton-1,Purdue,Big Ten,11,236,389,60.7,3090,7.9,9,31,5,151.1
20,Buck Pierce\buck-pierce-1,New Mexico State,Sun Belt,11,191,285,67,2253,7.9,8.2,16,5,148.4
21,Matt Jones\matt-jones-1,Arkansas,SEC,11,151,264,57.2,2073,7.9,6.9,15,12,132.8
22,Brandon Hassell\brandon-hassell-1,Texas Christian,CUSA,10,123,217,56.7,1724,7.9,8.2,10,3,135.9
23,Kevin Kolb\kevin-kolb-1,Houston,CUSA,11,198,353,56.1,2766,7.8,7.7,11,6,128.8
24,Marques Hagans*\marques-hagans-1,Virginia,ACC,12,164,261,62.8,2024,7.8,7.6,9,5,135.5
25,Jordan Palmer*\jordan-palmer-1,UTEP,WAC,12,213,366,58.2,2818,7.7,6.9,26,18,136.5
26,Brock Berlin*\brock-berlin-1,Miami (FL),ACC,12,195,348,56,2680,7.7,8.2,22,6,138.1
27,Gino Guidugli*\gino-guidugli-1,Cincinnati,CUSA,11,210,342,61.4,2633,7.7,8.2,26,8,146.5
28,Jay Cutler\jay-cutler-1,Vanderbilt,SEC,11,147,241,61,1844,7.7,7.5,10,5,134.8
29,Scott Hall*\scott-hall-1,North Texas,Sun Belt,12,134,237,56.5,1818,7.7,8.1,14,4,137.1
30,Dale Rogers\dale-rogers-1,San Jose State,WAC,11,96,181,53,1389,7.7,7,12,8,130.5
31,Charlie Frye\charlie-frye-1,Akron,MAC,11,220,346,63.6,2623,7.6,7.6,18,8,139.8
32,Tyler Palko*\tyler-palko-1,Pitt,Big East,12,230,409,56.2,3067,7.5,7.9,24,7,135.2
33,Clint Marks\clint-marks-1,Middle Tennessee State,Sun Belt,11,259,368,70.4,2749,7.5,6.5,14,14,138.1
34,Drew Olson*\drew-olson-1,UCLA,Pac-10,12,196,341,57.5,2565,7.5,7,20,13,132.4
35,John Beck\john-beck-1,Brigham Young,MWC,11,192,343,56,2563,7.5,7.3,15,8,128.5
36,Darian Durant*\darian-durant-1,North Carolina,ACC,12,178,299,59.5,2238,7.5,7.3,17,9,135.1
37,Matt Kubik\matt-kubik-1,Louisiana Tech,WAC,12,123,242,50.8,1818,7.5,6.5,10,10,119.3
