Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Tyrod Taylor*\tyrod-taylor-1,Virginia Tech,ACC,13,136,243,56,2311,9.5,9.7,13,5,149.4
2,Nathan Enderle*\nathan-enderle-1,Idaho,WAC,11,192,312,61.5,2906,9.3,9.4,22,9,157.3
3,Tim Tebow*\tim-tebow-1,Florida,SEC,14,213,314,67.8,2895,9.2,9.8,21,5,164.2
4,Ryan Mallett*\ryan-mallett-1,Arkansas,SEC,13,225,403,55.8,3624,9,9.7,30,7,152.5
5,Andrew Luck*\andrew-luck-1,Stanford,Pac-10,12,162,288,56.3,2575,8.9,9.2,13,4,143.5
6,Jimmy Clausen\jimmy-clausen-1,Notre Dame,Ind,12,289,425,68,3722,8.8,9.7,28,4,161.4
7,Max Hall*\max-hall-1,Brigham Young,MWC,13,275,409,67.2,3560,8.7,8.8,33,14,160.1
8,B.J. Daniels*\bj-daniels-1,South Florida,Big East,13,122,227,53.7,1983,8.7,8.2,14,9,139.5
9,Andy Dalton*\andy-dalton-1,Texas Christian,MWC,13,199,323,61.6,2756,8.5,8.8,23,8,151.8
10,Joe Webb\joe-webb-2,UAB,CUSA,12,162,271,59.8,2299,8.5,8.7,21,8,150.7
11,Levi Brown*\levi-brown-1,Troy,Sun Belt,13,321,504,63.7,4254,8.4,8.5,23,9,146.1
12,Jacory Harris*\jacory-harris-1,Miami (FL),ACC,13,242,406,59.6,3352,8.3,7.6,24,17,140.1
13,Ryan Colburn*\ryan-colburn-1,Fresno State,WAC,13,181,298,60.7,2459,8.3,7.9,19,11,143.7
14,Trey Revell\trey-revell-1,Louisiana-Monroe,Sun Belt,10,121,210,57.6,1739,8.3,6.9,12,12,134.6
15,Kellen Moore*\kellen-moore-1,Boise State,WAC,14,277,431,64.3,3536,8.2,9.7,39,3,161.7
16,Scott Tolzien*\scott-tolzien-1,Wisconsin,Big Ten,13,211,328,64.3,2705,8.2,7.7,16,11,143
17,Kirk Cousins*\kirk-cousins-1,Michigan State,Big Ten,13,198,328,60.4,2680,8.2,8.1,19,9,142.6
18,Bill Stull*\bill-stull-1,Pitt,Big East,13,209,321,65.1,2633,8.2,8.4,21,8,150.6
19,Case Keenum*\case-keenum-1,Houston,CUSA,14,492,700,70.3,5671,8.1,8.4,44,15,154.8
