Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,Rudy Carpenter*\rudy-carpenter-1,Arizona State,Pac-10,9,156,228,68.4,2273,10,11.1,17,2,175
2,Brian Brohm*\brian-brohm-1,Louisville,Big East,10,207,301,68.8,2883,9.6,10.1,19,5,166.7
3,Troy Smith*\troy-smith-1,Ohio State,Big Ten,11,149,237,62.9,2282,9.6,10.2,16,4,162.7
4,Vince Young*\vince-young-1,Texas,Big 12,13,212,325,65.2,3036,9.3,9.6,26,10,163.9
5,Matt Leinart*\matt-leinart-1,USC,Pac-10,13,283,431,65.7,3815,8.9,9.3,28,8,157.7
6,John Stocco*\john-stocco-1,Wisconsin,Big Ten,13,197,328,60.1,2920,8.9,8.9,21,9,150.5
7,Brian Johnson*\brian-johnson-2,Utah,MWC,10,210,330,63.6,2892,8.8,8.9,18,7,151
8,Brady Quinn*\brady-quinn-1,Notre Dame,Ind,12,292,450,64.9,3919,8.7,9.4,32,7,158.4
9,Drew Stanton\drew-stanton-1,Michigan State,Big Ten,11,236,354,66.7,3077,8.7,8.4,22,12,153.4
10,Justin Holland*\justin-holland-1,Colorado State,MWC,12,235,369,63.7,3185,8.6,8,23,15,148.6
11,Drew Olson*\drew-olson-1,UCLA,Pac-10,12,242,378,64,3198,8.5,9.5,34,6,161.6
12,Bryan Cupito*\bryan-cupito-1,Minnesota,Big Ten,11,176,297,59.3,2530,8.5,8.4,19,9,145.9
13,Colt Brennan\colt-brennan-1,Hawaii,WAC,12,350,515,68,4301,8.4,8.6,35,13,155.5
14,Ryan Hart*\ryan-hart-1,Rutgers,Big East,10,155,255,60.8,2135,8.4,8.4,18,8,148.1
15,Phil Horvath\phil-horvath-1,Northern Illinois,MAC,9,168,238,70.6,2001,8.4,8.4,18,8,159.4
16,D.J. Shockley*\dj-shockley-1,Georgia,SEC,12,173,310,55.8,2588,8.3,9.2,24,5,148.3
17,Marcus Vick*\marcus-vick-1,Virginia Tech,ACC,13,177,289,61.2,2393,8.3,7.9,17,10,143.3
18,Darrell Hackney\darrell-hackney-1,UAB,CUSA,11,242,386,62.7,3180,8.2,8,22,12,144.5
19,Jordan Palmer*\jordan-palmer-1,UTEP,CUSA,12,258,434,59.4,3503,8.1,7.4,29,19,140.5
20,Alex Brink\alex-brink-1,Washington State,Pac-10,11,205,358,57.3,2891,8.1,7.8,24,13,140
